必考词Unit1,
remote,"adj.（时间,距离）遥远的，偏僻的；（关系）疏远的；极不相同的，相差很大的"
remove,v.搬迁；移开；去掉，消除；脱去（衣服等）；开除，撤职
removal,n.移动，迁居；除去，切除；免职，开除
remain,v.剩下余留；留待，尚需；仍然是，依旧是，保持不变
remainder,n.剩余物，剩余时间，残余部分；其他人员；余数，余项，差数
remains,n.残余（物）；遗迹；遗体，废墟
remedy,n.治疗，治疗法，药品；补救（方法），纠正（办法） vt.医治，治疗；补救，纠正；革除，消除
remember,v.记得，回想起，不忘记；代......问候；向......送礼
remind,vt.提醒，使想起
render,v.使得，使成为；给予，回报；提出，呈报
contemporary,adj.同时代的，同时发生的；现代的，当代的 n.同代人，（几乎）同年龄的人
contempt,n.轻视，蔑视；（对规则、危险等的）蔑视，毫不畏惧
content,n.容量，含量；内容，目录；（单数）（书、文章、讲话、计划等的）主题，要旨；（网站上的）信息内容 adj.满意的，满足的，惬意的
contend,v.竞争，争夺；声称，主张
contest,n.竞赛，比赛，（控制权或权力的）竞争，争夺 v.争夺，竞争，争论，就......提出异议
context,n.上下文，语境；（事件发生的）环境，背景
contract,n. ＜律＞合同，契约 v.缩小，缩短，缩紧；立约规定（或雇佣、承担、执行等）； ＜医＞感染（疾病）
contradict,V.反驳；同......相矛盾 
contrary,adj.相反的；好与人作对的；对方的n.［常做the?］相反事物，反对，对立面
contrast,v.使成对比，使成对照；形成对比，显出明显的差异 n.对照，对比；差异，差别；明显不同的人（或事物）
diverse,adj.多种多样的，不同的
diversion,n.转向，转移；转移注意力的事物；娱乐，消遣
divert,V.转移（某人的）注意力；（使）转向；改变（资金，材料等）的用途，挪用资金，盗用；使（某人）得到消遣或娱乐
dividend,n.股息，红利，报酬；被除数
divide,v.分，划分；分裂；分配，分享，分担；分开，隔开；除 n.（尤指不同群体在信仰或生活方式的） 差异，分歧，不同；（时间、过程的）分界线，分界点
division,n.分开，分配；部门（科，系，处等）；差异，分歧；除法
document,n.公文，文件，文献，（计算机）文档 v.记录，记载（详情）
documentary,adj.文献的，文件的；记录的，纪实的 n.（文献）纪录片
execute,"vt.实行，实施，履行；（尤指依法）处决，处死；<律>执行（法令）,使（法律文件）生效"
executive,adj.实行的，执行的，行政的； n.（总）经理，董事，高管，行政负责人；[the?]（政府的）行政部门
exemplify,vt.例示，举例证明
exert,vt.用（力），尽（力）；运用，行使，发挥； 施加（压力等）
exhaust,v.使筋疲力尽，使疲惫不堪；用完，耗尽；汲空，抽完 n.排气装置；废气
exist,vi.存在，实际上有； （尤指在困境或贫穷中）生活，生存
